OBJECTID,CMT,ST,PRK_ZONE,AREA_HCTR,SHAPESTArea,SHAPESTLength
1,,,PT1,8042.897841,80428971.3,340595.4915
2,,,PT1,153.0413304,1530413.235,6577.201444
3,,,PT1,396.7041502,3967041.496,22934.85066
4,,,PT1,157.0991511,1570991.181,10641.27182
5,,,PT1,179.4007993,1794007.997,13279.12808
6,,,PT1,135.0989219,1350989.216,5651.925989
7,,,PT1,136.1939674,1361939.677,5563.526265
8,,,PT1,169.1249493,1691249.499,6911.019174
9,,,PT1,1450.046225,14500462.25,53360.85413
10,,,PT1,188.7295274,1887295.266,10543.94904
11,,,PT1,190.0961183,1900960.877,6263.886937
12,,,PT1,82.40594897,824059.4871,3899.827829
13,,,PT1,98.36728891,983672.886,4545.176397
14,,,PT1,579.3084298,5793084.297,15106.27558
15,,,PT1,52.30496782,523049.6797,3623.430545
16,,,PT1,41.09055361,410905.5343,5528.048505
17,,,PT1,403.6557656,4036557.664,19105.54596
18,,,PT1,267.3822158,2673822.16,11886.04922
19,,,PT1,317.7423813,3177423.814,12207.29943
20,,,PT1,226.0490495,2260490.497,10223.6656
21,,,PT1,845.2485566,8452485.576,36811.78054
22,,,PT1,48.0267218,480267.2184,2478.135629
23,,,PT1,31.72030409,317203.0409,2584.018871
24,,,PT1,50.12928339,501292.8324,2859.375689
25,,,PT1,60.62187467,606218.7481,3211.522581
26,,,PT1,52.75581062,527558.1056,3116.205564
27,,,PT1,53.73482289,537348.232,2915.689457
28,,,PT1,53.30376529,533037.6516,2887.72987
29,,,PT1,208.3508861,2083508.859,5779.261529
30,,,PT1,214.5399563,2145399.561,6297.854931
31,,,PT1,56.8721573,568721.5721,3137.579448
32,,,PT1,89.80400541,898040.0591,3960.801743
33,,,PT1,53.9440697,539440.6967,3106.563011
34,,,PT1,54.29549441,542954.9482,3263.930409
35,,,PT1,56.96467813,569646.7799,3360.956958
36,,,PT1,24.49968278,244996.8275,2204.005099
37,,,PT1,59.94406467,599440.6449,4409.700519
38,,,PT1,17.24154699,172415.4715,2100.779619
39,,,PT1,21.5237605,215237.6061,2466.621947
40,,,PT1,27.39710461,273971.0433,2559.216414
41,,,PT1,16.11695926,161169.5924,2015.992526
42,,,PT1,12.60665216,126066.5213,1639.056969
43,,,PT1,16.03320224,160332.0216,2213.28538
44,,,PT1,1075.640627,10756406.28,39075.48899
45,,,PT1,151.2674681,1512674.679,9244.148384
46,,,PT1,600.0385665,6000385.653,26215.59224
47,,,PT1,36.47281851,364728.185,2689.411996
48,,,PT1,51.60081111,516008.1106,2931.602057
49,,,PT1,59.23759353,592375.936,3531.031388
50,,,PT1,55.84934305,558493.4281,3226.419064
51,,,PT1,13.75195068,137519.5058,1754.416715
52,,,PT1,80.56543302,805654.335,8835.9996
53,,,PT1,489.1438868,4891438.889,20919.70849
