OBJECTID,SGMN_NAME,CTGR,NMBR,STDY_NAME,SHAPESTLength
1,TROVATO LINK ROAD,S2,13b,WATERLOO / WOLFE STREET,442.5843898
2,TROVATO LINK ROAD,S2,13b,WATERLOO / WOLFE STREET,354.5513697
3,TROVATO LINK ROAD,S2,13b,WATERLOO / WOLFE STREET,62.37431786
4,TROVATO LINK ROAD,S2,13b,WATERLOO / WOLFE STREET,30.35640257
5,TROVATO LINK ROAD,S2,13b,WATERLOO / WOLFE STREET,101.5361775
6,WATERLOO ROAD,S2,13b,WATERLOO / WOLFE STREET,77.6815745
7,WATERLOO ROAD,S2,13b,WATERLOO / WOLFE STREET,68.56527755
8,WATERLOO ROAD,S2,13b,WATERLOO / WOLFE STREET,62.09692935
9,WATERLOO ROAD,S2,13b,WATERLOO / WOLFE STREET,150.2541552
10,WATERLOO ROAD,S2,13b,WATERLOO / WOLFE STREET,88.14212241
11,CONSTANTIA MAIN ROAD,S2,14,CONSTANTIA MAIN ROAD,20.1502102
12,CONSTANTIA MAIN ROAD,S2,14,CONSTANTIA MAIN ROAD,146.948989
13,CONSTANTIA MAIN ROAD,S2,14,CONSTANTIA MAIN ROAD,119.9176087
14,STEENBERG ROAD,S1,12a,STEENBERG ROAD,10.22110277
15,STEENBERG ROAD,S1,12a,STEENBERG ROAD,169.5666467
16,OU KAAPSE WEG,S1,9,OU KAAPSE WEG,114.4226837
17,STEENBERG ROAD,S1,9,OU KAAPSE WEG,220.8158882
18,OU KAAPSE WEG,S1,9,OU KAAPSE WEG,63.86101734
19,OU KAAPSE WEG,S1,9,OU KAAPSE WEG,213.4226943
20,OU KAAPSE WEG,S1,9,OU KAAPSE WEG,148.8195086
21,BOYES DRIVE,S1,8,BOYES DRIVE,59.64429463
22,BOYES DRIVE,S1,8,BOYES DRIVE,69.83887132
23,OU KAAPSE WEG,S1,9,OU KAAPSE WEG,3041.119635
24,OU KAAPSE WEG,S1,9,OU KAAPSE WEG,725.5034956
25,BOYES DRIVE,S1,8,BOYES DRIVE,2723.227082
26,BOYES DRIVE,S1,8,BOYES DRIVE,245.106242
27,OU KAAPSE WEG,S1,9,OU KAAPSE WEG,3607.770153
28,BOYES DRIVE,S1,8,BOYES DRIVE,1933.740051
29,BOYES DRIVE,S1,8,BOYES DRIVE,83.29633696
30,BOYES DRIVE,S1,8,BOYES DRIVE,71.6858157
31,BOYES DRIVE,S1,8,BOYES DRIVE,76.05344975
32,BOYES DRIVE,S1,8,BOYES DRIVE,117.9289561
33,OU KAAPSE WEG,S1,9,OU KAAPSE WEG,2861.801137
34,BOYES DRIVE,S1,8,BOYES DRIVE,1161.531531
35,LOCH ROAD,S1,8,BOYES DRIVE,162.3083915
36,LOCH ROAD,S1,8,BOYES DRIVE,60.32372388
37,CLAIRVAUX ROAD,S1,8,BOYES DRIVE,5.308451854
38,CLAIRVAUX ROAD,S1,8,BOYES DRIVE,61.52327891
39,CLAIRVAUX ROAD,S1,8,BOYES DRIVE,38.44439793
40,CLAIRVAUX ROAD,S1,8,BOYES DRIVE,52.31224769
41,CLAIRVAUX ROAD,S1,8,BOYES DRIVE,100.2759047
42,MAIN ROAD,S1,2c,MAIN ROAD,18.19136329
43,MAIN ROAD,S1,2c,MAIN ROAD,85.66577324
44,MAIN ROAD,S1,2c,MAIN ROAD,589.2348682
45,GLENCAIRN EXPRESSWAY,S1,7,GLENCAIRN EXPRESSWAY,5134.911593
46,GLENCAIRN EXPRESSWAY,S1,7,GLENCAIRN EXPRESSWAY,213.2586288
47,MAIN ROAD,S1,2c,MAIN ROAD,1976.66743
48,GLENCAIRN EXPRESSWAY,S1,7,GLENCAIRN EXPRESSWAY,38.94146902
49,MAIN ROAD,S1,2c,MAIN ROAD,52.18667351
50,MAIN ROAD,S1,2c,MAIN ROAD,118.6861152
51,MAIN ROAD,S1,2c,MAIN ROAD,41.80119529
52,MAIN ROAD,S1,2c,MAIN ROAD,50.73617533
53,MAIN ROAD,S1,2c,MAIN ROAD,252.449615
54,MAIN ROAD,S1,2c,MAIN ROAD,232.5084083
55,MAIN ROAD,S1,2c,MAIN ROAD,413.8183897
56,MAIN ROAD,S1,2c,MAIN ROAD,534.3884837
57,MAIN ROAD,S1,2c,MAIN ROAD,238.8347657
58,MAIN ROAD,S1,2c,MAIN ROAD,614.4307512
59,RED HILL ROAD,S1,3,RED HILL ROAD,245.3480672
60,RED HILL ROAD,S1,3,RED HILL ROAD,130.0895363
61,MAIN ROAD,S2,2b,MAIN ROAD,500.8540319
62,RED HILL ROAD,S1,3,RED HILL ROAD,1141.368518
63,MAIN ROAD,S2,2b,MAIN ROAD,529.9996446
64,ST GEORGES STREET,S2,2b,MAIN ROAD,183.2735663
65,ST GEORGES STREET,S2,2b,MAIN ROAD,20.98682099
66,ST GEORGES STREET,S2,2b,MAIN ROAD,185.1049623
67,ST GEORGES STREET,S2,2b,MAIN ROAD,60.94160058
68,ST GEORGES STREET,S2,2b,MAIN ROAD,105.1236313
69,ST GEORGES STREET,S2,2b,MAIN ROAD,115.39775
70,ST GEORGES STREET,S2,2b,MAIN ROAD,83.68634783
71,ST GEORGES STREET,S2,2b,MAIN ROAD,38.23077372
72,ST GEORGES STREET,S2,2b,MAIN ROAD,34.86150216
73,ST GEORGES STREET,S2,2b,MAIN ROAD,26.18761642
74,ST GEORGES STREET,S2,2b,MAIN ROAD,16.70502146
75,ST GEORGES STREET,S2,2b,MAIN ROAD,36.74891286
76,ST GEORGES STREET,S2,2b,MAIN ROAD,49.04651131
77,ST GEORGES STREET,S2,2b,MAIN ROAD,51.24657547
78,ST GEORGES STREET,S2,2b,MAIN ROAD,287.1702296
79,ST GEORGES STREET,S2,2b,MAIN ROAD,63.63688603
80,ST GEORGES STREET,S2,2b,MAIN ROAD,81.55348434
81,ST GEORGES STREET,S2,2b,MAIN ROAD,78.33417877
82,ST GEORGES STREET,S2,2b,MAIN ROAD,82.01865035
83,ST GEORGES STREET,S2,2b,MAIN ROAD,47.68421409
