Ward,Total_Dwel,Urban_area,Tribal_or_,Farm,House_or_b,Traditiona,Flat_or_ap,Cluster_ho,Townhouse_,Semi_detac,House_flat,Informal_d,Informal00,Room_flatl,Caravan_te,Other,Unspecifie,Not_applic,Rented,Owned_but_,Occupied_r,Owned_and_,Other1,AHHI_No_in,AHHI_R_1__,AHHI_R_480,AHHI_R_960,AHHI_R_19_,AHHI_R_38_,AHHI_R_76_,AHHI_R_153,AHHI_R_307,AHHI_R_614,AHHI_R_1_2,AHHI_R_2_4,AHHI_Unspe,HH_Size_1,HH_Size_2,HH_Size_3,HH_Size_4,HH_Size_5,HH_Size_6,HH_Size_7,HH_Size_8,HH_Size_9,HH_Size_10,_Object
1,9082,9082,0,0,7425,28,384,562,280,140,85,9,12,135,3,19,0,0,1885,3638,237,3185,138,778,22,59,145,372,633,1334,2069,2062,1220,268,121,0,2038,2831,1595,1572,669,245,81,37,5,9,Region
2,8727,8728,0,0,6018,35,1951,177,154,85,93,15,10,161,4,24,0,0,3335,2791,196,2293,113,822,36,39,222,447,925,1661,2081,1744,590,100,59,1,2411,2478,1521,1376,557,246,89,31,8,9,Region
3,10982,10982,0,0,7505,37,1671,177,844,421,136,29,16,118,5,23,0,0,3804,3938,154,2961,123,857,33,59,266,566,1063,2047,2836,2262,771,125,96,0,2643,3430,2008,1817,706,245,68,34,9,21,Region
4,15288,15286,0,0,7322,67,2481,706,664,168,481,2593,717,59,5,25,0,0,7671,3874,1445,2016,280,1526,302,342,1062,1977,1858,1951,2458,2314,1112,261,123,1,4557,4352,2597,2005,996,448,175,73,35,47,Region
5,7606,7606,0,0,6620,19,375,136,203,104,54,7,11,56,1,20,0,0,1623,3570,116,2251,45,537,53,42,246,372,722,1248,1728,1814,692,83,69,0,1530,2286,1433,1472,572,194,72,24,8,15,Region
6,6316,6316,0,0,3722,26,31,5,11,13,91,994,1325,39,3,56,0,0,1064,1405,1666,2048,133,1069,190,291,686,1224,877,680,703,443,115,18,19,0,1240,1225,1101,1130,733,412,210,97,86,82,Region
7,6800,6802,0,0,5713,13,601,9,20,185,47,130,25,31,4,22,0,0,1923,2538,109,2185,47,653,47,71,491,800,1003,1238,1425,887,135,25,28,0,495,1108,1280,1595,1043,618,292,169,85,116,Region
8,13000,13001,0,0,9268,49,1018,689,664,190,142,207,643,76,6,48,0,0,3953,5515,571,2762,201,1389,121,192,483,602,1057,1889,3052,3016,940,127,128,5,2534,4006,2571,2550,876,305,97,39,7,17,Region
9,6048,6048,0,0,3541,6,684,4,59,134,217,467,7,289,20,620,0,0,2393,943,178,2441,93,536,62,105,600,922,1327,1186,734,448,93,15,20,0,729,1080,1103,1266,824,536,193,137,79,100,Region
10,7620,7618,0,0,4916,23,2195,12,44,58,129,32,22,153,3,33,0,0,3737,1893,127,1793,69,909,48,69,380,752,1125,1685,1607,824,154,34,31,1,1520,1659,1379,1369,811,413,209,99,56,103,Region
11,10825,10826,0,0,8219,7,299,166,129,312,138,1154,78,267,8,48,0,0,3165,3103,614,3483,461,1287,171,314,857,1378,1529,1589,1704,1424,451,78,42,2,1807,2241,1864,2291,1324,651,286,161,89,112,Region
12,7591,7591,0,0,5483,12,4,2,8,1165,33,197,22,163,11,491,0,0,1980,3096,214,2092,209,633,94,154,753,1339,1838,1635,903,205,18,13,5,0,535,912,1308,1665,1317,811,401,279,148,214,Region
13,10521,10521,0,0,8924,38,26,7,3,240,27,1017,17,51,7,164,0,0,2061,1331,3316,2990,822,1387,414,645,1404,2459,2262,1432,415,84,4,12,1,0,1224,1528,1741,1931,1697,1119,570,337,182,192,Region
14,12107,12107,0,0,8409,23,411,246,122,361,96,844,1388,142,20,45,0,0,3353,4042,866,3642,204,1316,148,283,996,1408,1588,1775,2193,1686,565,99,47,2,1863,2635,2261,2433,1394,779,345,184,87,125,Region
15,8163,8164,0,0,6867,23,262,436,319,33,110,40,19,34,3,17,0,0,1896,2436,170,3573,89,1039,34,61,138,274,479,1027,1802,1877,996,294,138,3,1770,2924,1287,1328,543,183,66,41,13,10,Region
16,10127,10127,0,0,8642,21,365,16,15,44,135,476,132,25,2,254,0,0,2297,3900,1323,2338,270,1194,174,281,825,1517,1978,2133,1458,497,39,20,11,0,1082,1444,1820,2192,1636,950,452,237,130,184,Region
17,9005,9002,0,0,7597,96,19,4,8,454,207,355,70,64,5,126,0,0,1824,3740,383,2802,253,957,82,164,642,1100,1593,1983,1683,671,82,30,15,0,583,1098,1574,2230,1603,871,427,267,148,201,Region
18,6033,6034,0,0,2784,17,32,2,3,3,53,569,2368,12,3,187,0,0,563,740,1677,2601,452,1235,357,527,993,1276,752,445,310,107,12,9,12,0,1361,970,961,893,719,498,279,157,90,109,Region
19,13690,13692,0,0,9694,54,91,319,111,1182,54,1014,1042,64,14,51,0,0,2891,3797,1598,4916,489,1646,387,705,1476,2326,2326,1886,1730,1012,140,22,36,1,1774,2302,2508,2851,1981,1174,538,263,150,149,Region
20,10506,10506,0,0,8881,41,40,8,10,158,85,1043,136,21,5,78,0,0,2671,875,1220,4689,1050,1747,445,702,1431,2564,2074,1102,330,81,16,10,4,0,1740,1713,1671,1821,1569,888,490,252,173,189,Region
21,8059,8059,0,0,5593,29,1513,238,451,14,68,14,11,107,0,21,0,0,2492,2856,221,2310,179,558,27,31,160,344,509,1040,1706,1910,1283,366,124,0,2133,2678,1186,1363,524,137,27,7,4,1,Region
22,7452,7452,0,0,5555,8,197,9,1,153,45,427,762,166,8,121,0,0,2296,1802,626,2597,131,744,93,201,813,1098,1203,1236,1149,697,161,32,25,1,953,1216,1240,1607,1095,654,315,155,93,124,Region
23,13217,11363,0,1853,8689,56,2934,722,383,113,81,38,94,52,18,37,0,0,5618,4266,260,2801,270,1266,88,110,322,471,881,1764,2836,3014,1744,508,208,3,3527,4835,2037,1842,649,203,79,31,4,9,Region
24,6085,6086,0,0,1994,11,489,44,81,1605,94,1111,540,75,5,36,0,0,1906,482,102,3102,493,904,155,270,932,1228,1267,867,340,97,10,11,6,0,587,881,972,1257,916,649,322,208,118,176,Region
25,8714,8715,0,0,6328,48,718,21,16,263,166,733,21,222,23,155,0,0,4160,1604,336,2377,239,1250,91,223,1146,1574,1856,1428,788,280,55,12,12,0,761,1201,1472,1802,1370,918,478,291,184,239,Region
26,7936,7935,0,0,4546,26,2225,46,41,395,158,137,35,221,8,98,0,0,4103,1931,110,1686,105,856,91,136,691,1062,1446,1477,1282,724,124,20,24,0,1118,1671,1537,1531,932,536,246,179,71,114,Region
27,9051,9053,0,0,6282,22,2115,77,48,64,249,8,13,139,5,29,0,0,3666,2919,99,2273,96,834,58,76,367,692,1089,1767,2182,1495,383,59,49,1,1839,2469,1739,1549,812,361,158,62,34,30,Region
28,6538,6539,0,0,3701,32,1285,2,7,407,105,636,13,298,10,42,0,0,2945,1669,90,1721,114,569,74,169,736,1236,1640,1286,605,177,28,13,5,0,478,850,1086,1380,1057,636,422,242,154,234,Region
29,9262,9231,0,30,6786,108,614,4,2,809,599,111,53,35,9,132,0,0,1907,2602,251,4251,249,867,150,297,1029,1810,2215,1673,876,284,27,19,14,0,674,1287,1593,2103,1590,914,487,273,159,181,Region
30,8366,8365,0,0,4578,11,742,265,18,1296,75,1029,18,281,9,44,0,0,3609,1769,152,2719,116,655,116,210,1047,1348,1767,1624,1099,427,48,15,8,0,995,1310,1393,1749,1239,706,391,223,148,210,Region
31,6910,6910,0,0,3025,80,421,39,90,2145,149,752,119,50,2,38,0,0,2811,1262,170,2493,173,626,153,267,841,1357,1509,1115,610,338,69,14,11,0,477,887,1116,1437,1157,723,458,262,149,243,Region
32,9467,9346,0,121,6042,39,353,27,6,488,335,165,1892,36,7,77,0,0,1815,3389,1676,2274,314,1462,279,369,1202,1931,1820,1383,673,266,47,18,15,1,1752,1472,1540,1650,1274,796,414,225,145,200,Region
33,15190,15189,0,0,4581,30,300,12,22,59,256,2850,6989,38,0,53,0,0,3198,399,4099,7035,459,3139,1067,1373,2531,4070,2025,716,178,53,6,19,12,0,4931,3277,2545,1785,1254,709,328,159,111,91,Region
34,11881,11882,0,0,4189,26,117,22,15,35,60,4055,3314,2,0,46,0,0,3078,416,3063,4537,789,2213,765,1009,2005,3284,1725,596,183,87,1,8,6,0,4156,2408,1767,1350,944,568,296,160,111,122,Region
35,11798,11798,0,0,5550,44,826,13,48,214,95,3323,1636,9,3,37,0,0,4113,535,3280,3568,302,2378,673,920,1869,2991,1805,771,300,74,7,2,6,1,3254,2236,1904,1651,1157,706,432,192,131,135,Region
36,9772,9770,0,0,5357,18,222,8,5,8,281,732,3101,6,3,31,0,0,1677,178,3588,3492,835,2135,706,948,1727,2168,1299,545,175,49,6,6,4,0,2481,1693,1539,1354,1053,699,437,219,135,160,Region
37,5983,5983,0,0,2854,14,720,12,5,597,110,570,1060,9,2,30,0,0,2116,55,1817,991,1003,1125,386,496,1213,1419,877,318,92,48,2,6,1,0,1561,1163,862,717,593,430,259,142,110,146,Region
38,4580,4581,0,0,3864,5,20,2,1,2,82,526,34,30,2,12,0,0,1208,244,476,2637,16,571,190,293,725,956,929,582,259,58,14,4,1,0,764,700,661,643,516,420,282,193,135,266,Region
39,8239,8240,0,0,3165,17,162,27,108,82,16,1076,3480,12,2,92,0,0,1383,77,2778,3385,618,1580,552,693,1514,2234,1163,361,88,45,5,2,3,0,2835,1529,1220,994,678,445,242,145,64,90,Region
40,8207,8207,0,0,1075,10,371,12,5,675,136,429,5462,7,0,25,0,0,687,98,3162,3893,368,1523,537,667,1423,2065,1190,565,156,64,4,7,5,0,2626,1620,1255,1015,670,445,214,117,90,157,Region
41,5074,5075,0,0,3298,7,20,6,1,752,117,413,422,9,0,29,0,0,1092,382,805,2725,71,792,156,207,815,1007,966,678,337,95,12,4,5,0,1007,860,775,710,552,398,247,169,113,243,Region
42,9188,9188,0,0,2603,89,670,8,3,159,123,347,4068,1080,1,37,0,0,3027,251,2200,3629,81,2027,510,712,1613,2136,1267,602,211,88,15,3,6,0,3164,1600,1298,1154,803,530,250,157,82,150,Region
43,9824,9824,0,0,6916,17,6,1,4,2368,91,77,157,117,6,64,0,0,1346,5290,256,2768,164,847,59,99,489,819,1437,2116,2464,1257,180,34,23,0,670,1525,1867,2605,1638,764,344,194,107,110,Region
44,8941,8938,0,0,4856,30,1478,11,7,1026,95,717,610,60,2,49,0,0,2820,1227,2315,2521,56,1222,258,417,1369,1934,1712,1126,572,262,45,9,11,0,1746,1614,1441,1416,1112,668,346,264,136,195,Region
45,7614,7613,0,0,4282,25,1705,6,128,259,149,969,35,6,3,47,0,0,5016,307,423,1785,82,886,245,447,1394,1865,1473,774,362,133,20,12,3,0,943,1066,1211,1274,1130,785,447,296,160,302,Region
46,6974,6976,0,0,4225,41,964,5,132,805,299,327,7,106,4,59,0,0,2825,1392,135,2507,116,868,113,205,1150,1225,1181,911,714,452,129,20,6,0,615,1011,1142,1252,1079,814,431,257,159,217,Region
47,6961,6962,0,0,1376,22,2842,9,5,1673,261,460,26,17,3,267,0,0,4783,634,93,1351,101,709,136,321,1525,1677,1523,818,198,42,7,7,0,0,507,784,1025,1348,1206,808,519,286,185,295,Region
48,7700,7700,0,0,6276,36,336,12,24,167,133,41,407,234,2,32,0,0,1934,1648,473,3398,247,944,75,94,751,832,933,1281,1476,940,287,58,30,0,1011,1639,1353,1502,1031,652,265,131,56,59,Region
49,8650,8649,0,0,3187,15,570,6,29,3928,510,226,35,106,4,34,0,0,2282,1566,200,4482,120,1098,54,128,1160,1289,1549,1668,1166,430,68,29,9,0,961,1378,1540,1732,1277,736,450,254,122,200,Region
50,7031,7031,0,0,2091,21,333,36,18,3453,169,650,9,160,3,88,0,0,1839,1205,92,3780,115,862,79,205,1017,1332,1556,1324,515,115,11,7,8,0,535,936,1150,1435,1183,734,447,235,155,221,Region
51,7356,7356,0,0,1309,18,1853,2,48,1623,309,1327,486,99,3,279,0,0,3634,700,1244,1648,131,1220,324,409,1030,1662,1360,794,385,134,24,13,1,0,2256,1457,1115,945,609,449,225,115,74,112,Region
52,8658,8656,0,0,618,14,2086,6,10,824,195,695,4104,9,2,95,0,0,3261,107,3169,2000,119,2420,541,658,1343,1902,1081,466,179,39,10,8,9,0,3239,1775,1362,993,609,341,149,94,44,50,Region
53,8993,8994,0,0,4989,31,1602,453,331,1026,89,287,91,68,9,17,0,0,3484,2649,311,2448,102,713,89,124,502,772,905,1251,1693,1726,871,253,93,2,2296,2381,1510,1485,698,319,145,58,33,69,Region
54,13332,13333,0,0,3402,67,8994,50,182,275,216,4,3,109,1,29,0,0,6555,2150,601,3757,271,1206,117,133,387,822,1228,2119,2668,2431,1417,479,325,1,6685,4231,1231,792,268,94,18,9,2,2,Region
55,11474,11475,0,0,5218,36,3728,104,402,1423,193,61,31,195,13,70,0,0,6087,2540,170,2379,300,1094,88,128,993,1159,1667,2005,2087,1518,530,115,90,1,3097,3200,1837,1604,886,463,174,93,60,61,Region
56,8661,8662,0,0,5229,7,1106,31,20,1169,211,308,270,258,3,49,0,0,3553,1570,500,2858,180,611,92,168,795,1130,1546,1771,1600,728,182,16,22,0,1187,1673,1582,1685,1174,653,298,176,91,143,Region
57,10201,10201,0,0,4366,40,2632,189,320,2278,124,29,8,169,7,39,0,0,5546,2172,170,2057,257,1404,79,146,560,831,1263,1697,1844,1520,642,143,72,0,3887,2762,1399,1052,574,267,119,68,33,41,Region
58,10854,10855,0,0,6392,32,2539,333,504,884,66,10,17,53,3,21,0,0,3848,3483,178,3219,126,860,57,65,226,407,803,1549,2341,2375,1571,433,167,1,3505,3355,1637,1535,567,177,45,21,8,4,Region
59,10886,10887,0,0,4005,56,5357,149,622,416,118,11,18,118,3,13,0,0,5253,2017,280,3155,183,1271,73,78,248,522,1035,1582,2262,1994,1201,415,205,1,4836,3456,1193,934,310,119,23,13,4,1,Region
60,8320,8319,0,0,7122,15,425,15,19,356,76,54,33,162,9,34,0,0,1856,3482,220,2594,166,734,42,76,490,560,766,1200,1827,1646,717,140,110,10,1062,1624,1492,1786,1253,633,242,125,57,45,Region
61,7800,7762,0,38,5752,87,691,32,44,141,91,282,374,54,3,249,0,0,2354,1599,407,3246,194,1099,79,115,528,754,1076,1409,1212,929,419,118,61,2,1504,2187,1186,1311,786,405,207,93,66,55,Region
62,9000,9000,0,0,5482,34,2348,200,315,354,81,23,7,139,4,13,0,0,3033,1947,443,3293,284,769,41,58,279,499,699,1129,1650,1676,1290,589,316,5,2653,2710,1288,1400,614,207,75,35,10,7,Region
63,7955,7954,0,0,5855,19,740,135,123,647,85,19,185,126,0,21,0,0,1833,3432,275,2272,142,786,62,68,376,592,753,1288,1838,1563,506,71,51,1,1174,1800,1540,1699,963,446,176,82,37,38,Region
64,9706,9707,0,0,6713,24,1543,470,387,371,58,5,18,90,2,25,0,0,3549,2858,190,2973,136,987,48,76,238,392,929,1749,2420,1935,722,137,74,0,2961,3354,1485,1237,425,168,48,14,6,9,Region
65,6876,6876,0,0,5504,6,691,22,60,225,65,67,56,108,10,62,0,0,2558,1760,288,2191,79,563,61,124,784,984,1316,1346,1114,473,81,18,12,0,751,1131,1248,1508,1016,561,306,151,93,112,Region
66,6396,6395,0,0,3824,21,1327,7,55,347,213,336,25,165,1,75,0,0,3471,1445,151,1262,66,555,75,181,781,1224,1291,1008,736,438,78,15,12,0,475,950,1101,1365,985,665,356,221,119,159,Region
67,12147,12148,0,0,6569,77,154,31,19,1203,392,1182,2344,68,5,103,0,0,3881,2282,2375,3242,369,2299,359,513,1606,2502,2097,1297,844,456,133,27,16,0,1844,2394,2250,2223,1499,904,468,279,128,159,Region
68,7139,7139,0,0,4421,35,1442,49,19,517,268,213,30,84,3,58,0,0,3441,1384,93,2116,105,983,71,150,1096,1298,1500,1118,625,218,62,9,9,0,603,1121,1219,1459,1091,683,391,232,143,198,Region
69,13087,13086,0,0,6082,48,516,223,66,88,255,3168,2477,64,9,91,0,0,5726,2171,2002,2791,396,2242,439,639,1554,2304,1451,1113,1218,1226,684,166,49,0,3962,3676,2316,1769,748,347,144,52,31,41,Region
70,9447,9318,0,129,7128,23,1068,355,577,32,79,9,33,121,3,19,0,0,2488,3562,398,2863,136,657,25,25,126,358,451,1004,1778,2354,1866,590,212,2,2540,3121,1410,1604,581,144,34,13,1,0,Region
71,9280,9271,0,9,6640,21,712,495,467,254,147,309,115,79,2,39,0,0,2892,2822,197,3204,166,858,57,68,265,557,746,1302,1748,2017,1204,322,134,1,2205,2960,1533,1675,552,219,68,27,18,25,Region
72,6781,6781,0,0,5100,20,679,32,43,306,270,98,63,124,12,34,0,0,1845,2370,187,2284,95,691,34,41,538,680,860,1211,1359,1010,301,48,10,0,783,1416,1375,1495,848,461,176,100,55,72,Region
73,8493,8492,0,0,6148,36,1212,241,291,330,86,16,19,82,7,25,0,0,2275,3017,105,2905,191,694,34,44,295,364,803,1359,1797,1857,953,211,80,1,2059,2667,1485,1478,503,196,64,26,8,6,Region
74,13307,13307,0,0,5949,52,1440,248,113,116,294,992,3874,160,12,57,0,0,4353,2131,2957,3587,279,2108,250,399,1308,2189,1575,1117,1189,1439,1112,457,162,2,4091,3819,2170,1746,763,375,154,95,48,46,Region
75,9870,9870,0,0,7000,26,297,11,110,661,129,1132,380,68,8,48,0,0,2949,3772,565,2395,190,1134,252,365,984,1719,1654,1671,1453,546,64,16,13,0,1551,1588,1791,2027,1449,725,332,176,101,130,Region
76,8894,8895,0,0,3731,13,36,11,85,4448,251,155,54,85,2,23,0,0,1281,3621,116,3794,82,852,75,160,750,1193,1842,1979,1411,539,58,20,16,0,739,1185,1536,1896,1497,912,461,310,161,197,Region
77,11154,11155,0,0,3205,71,7132,72,155,343,63,14,8,69,1,21,0,0,6511,1812,170,2511,151,1070,76,102,293,433,951,1776,2369,2267,1226,384,206,1,5136,3660,1045,746,301,138,54,26,26,23,Region
78,9048,9049,0,0,5434,17,6,7,23,3175,24,223,30,76,9,24,0,0,1475,3779,88,3606,100,989,50,125,773,1171,1667,2028,1591,586,44,14,12,0,654,1343,1574,2101,1456,879,426,268,140,208,Region
79,7320,7318,0,0,2180,32,6,7,10,4489,207,266,18,65,3,37,0,0,1668,2598,63,2897,93,901,87,217,735,1425,1735,1393,648,153,9,7,8,0,452,880,1196,1566,1269,825,476,255,150,250,Region
80,15834,15832,0,0,4915,14,43,40,15,82,127,1685,8702,112,12,87,0,0,2117,1033,5175,6803,704,3265,1057,1230,2645,4069,2193,797,367,160,23,15,10,0,5062,3223,2500,2005,1335,853,392,221,126,115,Region
81,7188,7191,0,0,4491,21,3,2,3,2267,78,144,24,114,2,39,0,0,811,2822,45,3423,91,838,35,62,613,926,1360,1726,1206,370,34,13,8,0,403,1028,1283,1628,1235,754,380,225,111,144,Region
82,8617,8617,0,0,4036,24,12,14,9,3096,58,1083,56,159,9,61,0,0,2130,3468,315,2572,133,828,197,396,1131,1786,2191,1489,505,83,7,2,1,0,518,1062,1377,1756,1490,1003,610,326,207,267,Region
83,8862,8862,0,0,4630,31,1147,15,37,1340,181,1321,86,19,7,48,0,0,4033,1259,916,2513,141,1377,263,401,973,1465,1122,1118,1068,758,239,48,29,0,2752,2431,1471,1156,569,259,115,52,29,27,Region
84,8770,8628,0,141,6037,129,897,520,578,209,210,44,37,54,2,53,0,0,2738,2117,300,3419,195,779,45,77,339,548,910,1536,1792,1593,780,232,135,4,2397,3012,1263,1247,483,227,68,35,16,20,Region
85,10566,10568,0,0,4657,39,1633,197,437,1168,247,1790,319,34,2,43,0,0,5355,950,893,3118,252,1550,324,537,1298,2173,1651,1346,1028,479,125,34,23,1,3318,2613,1791,1303,737,387,198,100,64,57,Region
86,11736,11735,0,0,5575,41,804,13,31,929,185,2070,1800,224,5,59,0,0,4391,792,2063,4026,463,2269,396,612,2054,2842,1764,969,538,220,47,16,8,0,3134,2345,1915,1720,1151,655,376,194,104,141,Region
87,8604,8603,0,0,2195,3,19,1,1,5,26,430,5846,2,1,75,0,0,137,47,4528,3507,384,1781,530,733,1538,2151,1190,469,112,71,15,10,3,0,2370,1497,1384,1211,872,568,310,177,96,118,Region
88,9813,9813,0,0,6490,67,250,11,20,58,337,1093,1406,29,13,39,0,0,2479,2300,1846,2739,449,1934,480,689,1491,2046,1480,988,531,153,13,5,4,0,1876,1635,1740,1647,1214,751,416,235,115,185,Region
89,9574,9574,0,0,1171,15,27,23,3,3,15,221,8044,2,1,49,0,0,261,374,2074,6306,559,2308,630,846,1705,2532,1164,290,64,25,4,2,4,0,3472,1812,1485,1212,746,451,202,89,64,41,Region
90,9333,9332,0,0,3018,3,28,19,0,0,21,499,5711,4,1,29,0,0,717,543,3229,4466,377,1866,550,756,1749,2463,1325,455,124,35,8,1,0,0,2872,1741,1479,1236,886,570,236,162,65,87,Region
91,9006,9005,0,0,3618,57,25,6,0,2,20,451,4805,2,2,18,0,0,575,309,2106,5767,248,1549,470,644,1649,2581,1388,531,134,45,2,6,4,0,2412,1515,1462,1266,966,606,342,199,124,113,Region
92,9368,9368,0,0,7725,14,40,3,3,29,120,627,726,34,0,47,0,0,2213,1929,580,4420,226,1306,287,404,1148,1646,1672,1558,948,339,41,15,3,0,1829,1568,1612,1521,1182,783,377,226,106,164,Region
93,9670,9670,0,0,3534,33,32,7,6,17,110,1270,4612,10,6,33,0,0,1368,558,3650,3939,156,1562,695,889,1702,2587,1450,543,156,56,15,6,9,0,2660,1791,1624,1345,1021,573,313,165,87,92,Region
94,6405,6405,0,0,5897,2,26,6,1,9,136,252,31,15,2,28,0,0,1497,1211,1377,2120,199,678,188,254,866,1228,1337,1097,557,174,14,8,5,0,1174,976,1060,1023,871,560,318,173,88,163,Region
