Ward,Pop,Black_Afri,Coloured,Indian_or_,White,Other,Gade_0,Grade_1___,Grade_2___,Grade_3___,Grade_4___,Grade_5___,Grade_6___,Grade_7___,Grade_8___,Grade_9___,Grade_10__,Grade_11__,Grade_12__,NTC_I___N1,NTC_II___N,NTC_III__N,N4___NTC_4,N5__NTC_5,N6___NTC_6,Certificat,Diploma_wi,Certific00,Diploma_00,Higher_Dip,Post_Highe,Bachelors_,Bachelor00,Honours_de,Higher_Deg,Other1,No_schooli,Unspecifie,Not_applic,PMI_No_inc,PMI_R_1___,PMI_R_401_,PMI_R_801_,PMI_R_1_60,PMI_R_3_20,PMI_R_6_40,PMI_R_12_8,PMI_R_25_6,PMI_R51201,PMI_R10240,PMI_R20480,PMI_Unspec,PMI_NotApp,Employed,Unemployed,Discourage,Other_NotE,Age_Lessth,Employment,FormalSect,InformalSe,Private_ho,Do_not_kno,Unsepcifie,Sector_Not
1,26885,2072,3663,1421,19152,577,433,309,282,275,312,306,409,450,931,578,1829,689,7803,88,160,238,132,88,218,71,152,671,1467,1966,274,1635,592,716,567,242,218,0,2785,6839,174,231,678,1055,2158,3619,3770,2114,705,158,108,3773,1504,12710,521,86,5688,0,7881,11489,744,759,255,0,13638
2,25584,3607,4821,561,15953,642,395,266,238,239,306,275,394,435,948,599,1885,688,7801,60,131,172,121,74,184,61,96,481,1190,1666,211,1272,433,553,474,140,245,0,3551,6677,186,201,878,1354,2519,3684,3233,1223,257,83,48,3115,2126,11923,722,122,5247,0,7570,10744,841,588,185,0,13226
3,31945,4164,5100,447,21691,543,489,301,342,288,330,395,477,462,1258,712,2354,815,10364,107,132,291,203,164,231,142,284,654,1751,1696,285,1313,454,626,436,247,363,0,3982,7018,210,260,1028,1527,3198,4760,4304,1604,296,113,95,5326,2208,15389,879,166,7142,0,8369,13482,1230,992,225,0,16017
4,40916,20022,5250,1250,13222,1172,996,795,644,604,693,778,816,1016,1677,1616,2728,3258,10410,106,126,182,112,89,120,96,124,826,1639,1930,288,1965,639,923,600,281,554,0,4286,14233,1494,759,2178,3961,3327,3632,3804,2140,718,129,116,3991,434,19847,3067,593,6602,0,10806,15406,1604,2543,691,0,20671
5,24663,2198,4035,303,17764,363,390,256,239,255,292,301,333,425,1038,645,2536,762,7336,90,186,368,165,109,150,74,109,467,879,1402,162,829,269,331,205,201,196,0,3662,6299,200,196,881,1122,2069,3184,3172,1373,304,79,55,3210,2519,10962,749,133,6373,0,6446,9582,571,820,343,0,13347
6,23473,11873,9100,57,2173,270,724,551,522,574,706,884,949,1133,1718,1642,2162,1981,4738,38,38,64,42,34,61,32,35,167,347,451,40,235,75,83,54,41,746,0,2606,9788,1622,598,1901,2164,1372,1242,813,253,34,20,23,3615,30,8754,2427,520,4756,0,7017,7263,728,707,154,0,14622
7,30808,1742,27454,185,1102,325,655,604,627,655,801,913,1059,1556,2340,2103,3433,1727,6742,36,52,71,70,44,59,53,114,560,810,665,138,361,186,184,84,75,886,0,3141,11747,498,405,2903,2475,2475,2612,1620,315,55,34,19,5359,289,11723,1729,626,7530,0,9200,10471,770,527,88,0,18951
8,37745,6211,7613,277,23163,481,763,586,546,475,569,623,622,752,1375,1055,2775,1233,11320,135,221,356,253,149,354,126,212,1034,1951,2366,269,1558,591,680,442,211,614,0,3529,10290,473,468,1447,1615,3090,5247,5409,2065,334,134,118,6665,389,18894,1357,480,6309,0,10705,16273,1236,1274,490,0,18471
9,29301,5427,22270,279,146,1179,690,534,511,575,695,716,928,1323,2360,2024,2635,1588,4649,31,44,50,39,30,36,37,65,207,371,361,51,340,166,161,97,38,780,0,7169,10860,1360,428,2952,2587,2328,1336,893,184,29,18,18,1363,4944,8531,2164,354,10437,0,7815,7412,540,596,107,0,20645
10,30522,5952,16757,445,5942,1426,580,444,433,397,505,566,744,1057,1970,1320,2954,1405,7761,39,62,96,74,37,69,37,86,272,819,858,150,547,173,256,136,92,600,0,5981,9940,228,296,2042,2192,2840,2959,1706,360,45,41,32,4046,3793,11363,1723,360,8535,0,8539,9786,905,585,251,0,18995
11,41693,8148,26541,256,5803,945,945,797,785,790,880,1062,1274,1687,3156,2534,3845,2329,8716,73,99,174,112,84,122,88,130,580,1259,1367,166,1122,340,437,281,137,955,0,5366,16608,1293,935,2981,3092,3103,3116,2860,831,152,66,50,4975,1633,15948,2983,656,9453,0,12654,13434,1224,1072,489,0,25473
12,35392,1415,32705,260,63,949,1080,867,741,898,1067,1193,1434,2549,3307,3224,4444,2457,6282,50,53,55,33,24,42,38,29,139,198,260,47,117,50,41,18,130,878,0,3647,17870,1808,681,3876,3555,3225,1587,465,57,6,12,6,2244,0,11186,3642,1081,8483,0,11000,9402,1335,427,99,0,24130
