OBJECTID,OFC_SBRB_NAME,ShapeSTArea,ShapeSTLength
1,HYDE PARK,73482.9847259521,1248.30947612151
2,SPRINGFIELD,563248.376869202,4122.21604556907
3,NIEUW MAASTRECHT-2,577520.416778564,3125.3647526434
4,CHARLESVILLE,290334.012954712,2303.99968299112
5,WILDWOOD,134618.520446777,1629.4557914932
6,MALIBU VILLAGE,1199191.83058167,5034.20048237448
7,TUSCANY GLEN,754172.854606628,4384.76376310426
8,VICTORIA MXENGE,1188577.0250473,4467.46254020375
9,ELECTRIC CITY,689731.242019653,4120.08042321625
10,KHAYELITSHA,1034364.74655914,4761.29185291018
11,CASTLE ROCK,435784.997665405,4050.13388210903
12,MANSFIELD INDUSTRIA,80801.9342575073,1150.25823500475
13,SUN VALLEY,752145.827209473,3721.47438178675
14,DANARAND,57917.6714172363,1015.18339947296
15,BENNO PARK,41719.2714385986,901.494820510741
16,KLOOFZICHT,31594.1887741089,748.488517614258
17,EENSGEVONDEN,69021.4596862793,1204.23169971108
18,OAKDENE,331348.507369995,2553.07792929702
19,THORNTON,2120513.69491577,6502.17989724728
20,BELHAR EXT 15,50067.0503463745,989.404735370886
21,MONTANA EXTENSION,93740.7456970215,1542.5938671889
22,HIGHVELD,76400.4793128967,1188.2863489264
23,HEEMSTEDE,29935.0918273926,822.865565170813
24,SHIRLEY PARK,100654.131507874,1321.71143575051
25,BRACKENFELL COMMON,96337.1566619873,2032.41628756577
26,JOUBERTPARK,66459.4410858154,1144.55521821294
27,GROENVALLEI,381153.376670837,4012.43833430102
28,SONKRING,465929.936172485,3188.46615973571
29,SAXONWOOD,2569504.61352539,8465.49915626919
30,PROTEA PARK - WESFLEUR,1385634.51504517,5031.16121892959
31,TRE DONNE,406595.407365799,3235.72563936454
32,DE OUDE SPRUIT,439562.726913452,3159.25079479438
33,PAROW GOLF COURSE,898487.020721436,4314.8397702354
34,WELCOME ESTATE,450561.181838989,3245.56614943202
35,VANGUARD ESTATE,533184.709442139,3148.29267765591
36,SUNBIRD PARK,392593.602249146,2600.06291576622
37,THE CONIFERS,750205.144760132,3677.45757062013
38,WINGFIELD,2243161.57225037,6181.77490410197
39,WINDERMERE,1176095.88818359,4488.6665794921
40,BO-KAAP,905616.010162354,4182.21510921242
41,HELDERBERG PARK,83431.8508911133,1252.44070007397
42,GREENFIELDS,362058.011245728,2809.18508687441
43,SPRINGBOKPARK,191693.077026367,1804.88820545556
44,DELFT 3,293403.434555054,2234.26722294782
45,SILVERTOWN - KHAYELITSHA,262486.127700806,2563.02697189665
46,EERSTERIVIER,3087516.10282135,8349.243661428
47,GOOD HOPE,635515.336639404,5812.97504085034
48,ENDLOVINI,2065531.49147034,5969.30178750608
49,ENKANINI,1492572.45915222,5809.90380533521
50,PHILIPPI PARK,196923.515472412,1893.55173627652
51,KUILSRIVIER INDUSTRIA,1089242.03213501,5881.32263246904
52,FERNDALE,465545.905601501,2806.37789944905
53,GOODRAIL,87815.9016418457,1240.83875967497
54,DE DUIN,298724.873199463,2361.00073116998
55,ELSIES RIVER INDUSTRIA,974038.167480469,4036.0891063739
56,WESTGATE,804923.250640869,4526.72395963788
57,KRAAIFONTEIN EAST,496348.495315552,3007.75072606243
58,TURTLE CREEK,114878.377731323,1368.96169548784
59,ZEVENWACHT MALL,212253.486709595,2388.39151052536
60,KAAPSIG,97596.8689804077,1286.06643714972
61,LANGA,2956184.87280273,7347.93445703856
62,SUN CITY,172075.04382515,1737.42516792779
63,SOMERSET FOREST,81751.4319763184,1328.99591870695
64,HAPPY VALLEY,270179.021469116,2110.88896880749
65,SILVEROAKS,461208.754188538,2892.29704302201
66,THE LINK,180207.422355652,2220.15633423353
67,PETROSA TANK FARM,1036991.49621582,4787.78172575465
68,ZEVENZICHT,130255.209274292,1643.82049493993
69,KUILS RIVER SPORTS GROUNDS,249299.562736511,2992.14080093768
70,WESTRIDGE - SOMERSET WEST,685603.233844757,3882.70911979877
71,TYGERBERG HOSPITAL,990629.187774658,4346.24203154171
72,STRANDVALE,265703.802780151,2670.90965889287
73,BROADLANDS VILLAGE,305277.92111969,2655.61642462978
74,GOLDEN HILL EXT 1,404382.249061584,2787.75512045492
75,DURMONTE,339513.795799255,3470.23833801967
76,WELGEVONDEN,202022.45589447,2005.16985459791
77,FAIRVIEW GOLF ESTATE,661389.277584076,3559.83541480696
78,BELGRAVIA -BELLVILLE,247337.26713562,2311.92952868275
79,MOUILLE POINT,285619.650421143,5709.17464468845
80,SHERWOOD,1287235.81445312,4657.30600308853
81,BEACON HILL,1583111.08306885,5455.20931831411
82,AVONDALE - WESFLEUR,2185683.40283203,6630.0268967755
83,ROBINVALE,1248170.53288269,4762.66380895199
84,DUNROBIN,17814.1630477905,600.561954839043
85,MONTANA,565553.645324707,3494.13353172278
86,MONTEVIDEO,245141.551269531,2260.07092208534
87,TAMBOERSKLOOF,1006865.48451233,4534.67115454845
88,VREDELUST KUILS RIVER,139199.630325317,1545.46242411546
89,SAXONSEA,2049109.96258545,6638.42126698972
90,KLIPHEUWEL HOUSING SCHEME,107838.258529663,2007.06447377456
91,MIKPUNT,889678.09854126,5353.85776944632
92,VIERLANDEN,1482627.93541718,7077.21078362948
93,RUITERSHOOGTE,289890.553489685,2779.12507900106
