OBJECTID,SUB_CNCL_NAME,SUB_CNCL_NMBR,SHAPESTArea,SHAPESTLength
1,Subcouncil 1,1,501180304.3,117042.1576
2,Subcouncil 2,2,81272577.12,52431.52021
3,Subcouncil 3,3,71102193.5,40726.53596
4,Subcouncil 4,4,29754898.33,26189.44538
5,Subcouncil 5,5,36213721.25,25472.6309
6,Subcouncil 6,6,45257510.78,33457.84324
7,Subcouncil 7,7,505731609.4,125037.5659
8,Subcouncil 8,8,295499220.7,124187.7108
9,Subcouncil 9,9,28626910.96,28311.14609
10,Subcouncil 10,10,28642545.01,28736.47835
11,Subcouncil 11,11,35032269.95,33065.37615
12,Subcouncil 12,12,21474485.07,28435.8632
13,Subcouncil 13,13,13385368.42,21447.14268
14,Subcouncil 14,14,20944034.57,27570.82788
15,Subcouncil 15,15,39563119.28,35986.7367
16,Subcouncil 16,16,93377819.78,104549.2294
17,Subcouncil 18,18,46110252.9,36329.48829
18,Subcouncil 19,19,232076633.9,141040.6132
19,Subcouncil 20,20,140979918.4,85789.59173
20,Subcouncil 21,21,108447222.1,66959.8791
21,Subcouncil 17,17,65985866.87,37193.45673
